CITY,COUNTRY,AVERAGE RANK,OVERALL RANK,AVERAGE HIGHEST TEMP,AVERAGE HIGHEST TEMP RANK,AVG. DAILY HOURS OF SUNSHINE,AVG. DAILY HOURS OF SUNSHINE RANK,AVG. DAILY HOURS OF DAYLIGHT,AVG. DAILY HOURS OF DAYLIGHT RANK,AVERAGE UV ACROSS YEAR,AVERAGE UV ACROSS YEAR RANK,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR RANK,AVG. MONTHLY RAINFALL ACROSS YEAR,AVG. MONTHLY RAINFALL ACROSS YEAR RANK,AIR POLLUTION SCORE,AIR POLLUTION SCORE RANK,% OF CLEAR SKIES ACROSS THE YEAR,% OF CLEAR SKIES ACROSS THE YEAR RANK
Madrid,Spain,22.75,72.00,12.00,22.00,5.00,6.00,11.00,4.00,3.00,9.00,13.00,14.00,44.00,30.00,46.16,72.00,56.00%,25.00
Darwin,Australia,23.00,73.00,31.00,4.00,6.00,5.00,12.00,3.00,11.00,1.00,12.00,13.00,333.00,93.00,15.57,11.00,13.00%,54.00
Seville,Spain,23.63,74.00,17.00,17.00,6.00,5.00,11.00,4.00,3.00,9.00,13.00,14.00,68.00,51.00,41.41,67.00,59.00%,22.00
Barcelona,Spain,23.75,75.00,14.00,20.00,5.00,6.00,11.00,4.00,3.00,9.00,11.00,12.00,36.00,23.00,61.15,93.00,58.00%,23.00
Salzburg,Austria,23.75,76.00,4.00,30.00,3.00,8.00,10.00,5.00,2.00,10.00,14.00,15.00,71.00,54.00,18.06,15.00,14.00%,53.00
Toronto,Canada,23.88,77.00,-2.00,35.00,4.00,7.00,11.00,4.00,2.00,10.00,10.00,11.00,45.00,31.00,33.74,54.00,42.00%,39.00
Bratislava ,Slovakia,23.88,78.00,4.00,30.00,3.00,8.00,10.00,5.00,2.00,10.00,12.00,13.00,39.00,26.00,35.16,59.00,41.00%,40.00
Cairns,Australia,24.00,79.00,31.00,4.00,6.00,5.00,13.00,2.00,11.00,1.00,14.00,15.00,431.00,94.00,20.27,19.00,20.00%,52.00
Marrakech,Morocco,24.13,80.00,20.00,14.00,7.00,4.00,11.00,4.00,5.00,7.00,6.00,7.00,35.00,22.00,80.16,119.00,66.00%,16.00
Chicago ,USA,24.25,81.00,1.00,33.00,5.00,6.00,11.00,4.00,2.00,10.00,10.00,11.00,38.00,25.00,44.81,68.00,44.00%,37.00
Hanoi,Vietnam,24.38,82.00,20.00,14.00,2.00,9.00,11.00,4.00,10.00,2.00,12.00,13.00,28.00,16.00,84.93,123.00,68.00%,14.00
Lake Como,Italy,24.38,83.00,7.00,27.00,5.00,6.00,10.00,5.00,2.00,10.00,9.00,10.00,48.00,34.00,45.45,71.00,49.00%,32.00
Porto,Portugal,24.38,84.00,14.00,20.00,5.00,6.00,11.00,4.00,3.00,9.00,16.00,17.00,167.00,80.00,22.31,24.00,46.00%,35.00
Berlin,Germany,24.38,85.00,3.00,31.00,3.00,8.00,10.00,5.00,1.00,11.00,12.00,13.00,35.00,22.00,35.90,61.00,35.00%,44.00
Colombo,Sri Lanka,24.50,86.00,31.00,4.00,9.00,2.00,12.00,3.00,11.00,1.00,5.00,6.00,74.00,56.00,54.44,86.00,43.00%,38.00
Hong Kong,China,24.63,87.00,19.00,15.00,4.00,7.00,11.00,4.00,9.00,3.00,9.00,10.00,48.00,34.00,66.98,105.00,63.00%,19.00
Athens,Greece,24.63,88.00,13.00,21.00,5.00,6.00,11.00,4.00,3.00,9.00,9.00,10.00,54.00,40.00,54.33,85.00,59.00%,22.00
Dublin,Ireland,24.75,89.00,8.00,26.00,3.00,8.00,10.00,5.00,1.00,11.00,15.00,16.00,50.00,36.00,33.61,53.00,36.00%,43.00
Santorini,Greece,24.88,90.00,14.00,20.00,5.00,6.00,11.00,4.00,3.00,9.00,10.00,11.00,81.00,63.00,44.88,69.00,65.00%,17.00
Geneva ,Switzerland,25.00,91.00,5.00,29.00,3.00,8.00,10.00,5.00,2.00,10.00,13.00,14.00,77.00,59.00,26.52,41.00,47.00%,34.00
Malé,Maldives,25.13,92.00,31.00,4.00,10.00,1.00,12.00,3.00,11.00,1.00,5.00,6.00,68.00,51.00,62.93,96.00,42.00%,39.00
Boston,USA,25.25,93.00,3.00,31.00,6.00,5.00,11.00,4.00,2.00,10.00,10.00,11.00,93.00,69.00,26.03,39.00,48.00%,33.00
Ljubljana,Slovenia,25.25,94.00,5.00,29.00,4.00,7.00,10.00,5.00,2.00,10.00,12.00,13.00,76.00,58.00,28.50,43.00,44.00%,37.00
Tromsø,Norway,25.25,95.00,-2.00,35.00,1.00,10.00,7.00,7.00,0.00,12.00,21.00,21.00,78.00,60.00,14.06,6.00,22.00%,51.00
New Orleans,USA,25.38,96.00,18.00,16.00,6.00,5.00,11.00,4.00,6.00,6.00,9.00,10.00,134.00,77.00,35.33,60.00,56.00%,25.00
Ankara,Turkey,25.88,97.00,5.00,29.00,5.00,6.00,11.00,4.00,3.00,9.00,11.00,12.00,39.00,26.00,59.80,90.00,50.00%,31.00
Montreal,Canada,25.88,98.00,-4.00,37.00,4.00,7.00,10.00,5.00,2.00,10.00,12.00,13.00,63.00,48.00,30.43,46.00,38.00%,41.00
Singapore,Malaysia,26.00,99.00,30.00,5.00,7.00,4.00,12.00,3.00,11.00,1.00,10.00,11.00,177.00,83.00,33.31,51.00,23.00%,50.00
Lisbon,Portugal,26.38,100.00,16.00,18.00,5.00,6.00,11.00,4.00,3.00,9.00,14.00,15.00,110.00,72.00,36.00,62.00,56.00%,25.00
Bilbao,Spain,26.38,101.00,13.00,21.00,3.00,8.00,11.00,4.00,2.00,10.00,16.00,17.00,102.00,70.00,26.85,42.00,42.00%,39.00
Valletta ,Malta,26.50,102.00,15.00,19.00,6.00,5.00,11.00,4.00,4.00,8.00,10.00,11.00,55.00,41.00,68.06,108.00,66.00%,16.00
Mykonos,Greece,26.50,103.00,13.00,21.00,5.00,6.00,11.00,4.00,3.00,9.00,10.00,11.00,72.00,55.00,54.33,85.00,61.00%,21.00
Kyoto,Japan,26.50,104.00,6.00,28.00,4.00,7.00,11.00,4.00,4.00,8.00,22.00,22.00,83.00,65.00,34.38,56.00,59.00%,22.00
Budapest,Hungary,26.50,105.00,5.00,29.00,3.00,8.00,10.00,5.00,2.00,10.00,11.00,12.00,32.00,19.00,58.00,89.00,41.00%,40.00
San Francisco,USA,26.63,106.00,16.00,18.00,7.00,4.00,11.00,4.00,3.00,9.00,9.00,10.00,91.00,68.00,40.97,66.00,47.00%,34.00
Zagreb,Croatia,26.63,107.00,6.00,28.00,3.00,8.00,10.00,5.00,2.00,10.00,11.00,12.00,70.00,53.00,34.43,57.00,41.00%,40.00
Vancouver,Canada,26.63,108.00,8.00,26.00,3.00,8.00,10.00,5.00,1.00,11.00,17.00,18.00,155.00,79.00,19.82,18.00,30.00%,48.00
Rome,Italy,26.75,109.00,13.00,21.00,5.00,6.00,11.00,4.00,2.00,10.00,13.00,14.00,75.00,57.00,49.81,77.00,56.00%,25.00
Nice,France,26.88,110.00,11.00,23.00,5.00,6.00,11.00,4.00,2.00,10.00,9.00,10.00,79.00,61.00,50.00,78.00,58.00%,23.00
Villefranche-sur-Mer,France,27.00,111.00,11.00,23.00,5.00,6.00,11.00,4.00,2.00,10.00,10.00,11.00,79.00,61.00,50.00,78.00,58.00%,23.00
Nairobi,Kenya,27.00,112.00,26.00,9.00,9.00,2.00,12.00,3.00,11.00,1.00,8.00,9.00,49.00,35.00,68.99,109.00,30.00%,48.00
Bora Bora,French Polynesia,27.25,113.00,31.00,4.00,7.00,4.00,13.00,2.00,11.00,1.00,16.00,17.00,234.00,86.00,33.33,52.00,20.00%,52.00
Los Angeles,USA,27.38,114.00,20.00,14.00,8.00,3.00,11.00,4.00,4.00,8.00,5.00,6.00,79.00,61.00,64.35,100.00,58.00%,23.00
Oslo,Norway,27.50,115.00,-1.00,34.00,1.00,10.00,7.00,7.00,0.00,12.00,21.00,21.00,78.00,60.00,22.83,30.00,32.00%,46.00
Victoria,Seychelles,27.63,116.00,29.00,6.00,6.00,5.00,12.00,3.00,11.00,1.00,14.00,15.00,279.00,90.00,33.33,52.00,28.00%,49.00
Venice,Italy,27.75,117.00,9.00,25.00,4.00,7.00,10.00,5.00,2.00,10.00,9.00,10.00,57.00,43.00,60.19,92.00,51.00%,30.00
Sofia,Bulgaria,28.50,118.00,4.00,30.00,3.00,8.00,11.00,4.00,2.00,10.00,6.00,7.00,36.00,23.00,76.59,115.00,50.00%,31.00
Shanghai,China,28.63,119.00,8.00,26.00,4.00,7.00,11.00,4.00,5.00,7.00,12.00,13.00,60.00,45.00,66.83,104.00,58.00%,23.00
Seattle,USA,28.63,120.00,10.00,24.00,4.00,7.00,10.00,5.00,2.00,10.00,15.00,16.00,105.00,71.00,31.53,49.00,31.00%,47.00
London,United Kingdom,28.88,121.00,7.00,27.00,2.00,9.00,10.00,5.00,1.00,11.00,12.00,13.00,37.00,24.00,63.02,98.00,35.00%,44.00
New York,USA,29.50,122.00,4.00,30.00,6.00,5.00,11.00,4.00,3.00,9.00,10.00,11.00,79.00,61.00,53.22,83.00,48.00%,33.00
Taipei,Taiwan,29.88,123.00,18.00,16.00,3.00,8.00,11.00,4.00,8.00,4.00,19.00,20.00,168.00,81.00,47.57,75.00,50.00%,31.00
Rio de Janeiro,Brazil,29.88,124.00,30.00,5.00,7.00,4.00,13.00,2.00,11.00,1.00,16.00,17.00,186.00,84.00,53.11,82.00,35.00%,44.00
Monaco,Monaco,30.00,125.00,10.00,24.00,5.00,6.00,10.00,5.00,2.00,10.00,9.00,10.00,79.00,61.00,64.39,101.00,58.00%,23.00
Turin,Italy,30.13,126.00,8.00,26.00,4.00,7.00,10.00,5.00,2.00,10.00,9.00,10.00,54.00,40.00,79.57,118.00,56.00%,25.00
Warsaw,Poland,30.13,127.00,1.00,33.00,2.00,9.00,10.00,5.00,1.00,11.00,14.00,15.00,25.00,13.00,69.80,110.00,34.00%,45.00
Paris,France,30.38,128.00,7.00,27.00,3.00,8.00,10.00,5.00,2.00,10.00,14.00,15.00,46.00,32.00,65.77,103.00,36.00%,43.00
Sorrento,Italy,30.75,129.00,12.00,22.00,4.00,7.00,11.00,4.00,3.00,9.00,13.00,14.00,69.00,52.00,71.64,111.00,54.00%,27.00
Brussels,Belgium,30.88,130.00,6.00,28.00,3.00,8.00,10.00,5.00,1.00,11.00,15.00,16.00,52.00,38.00,63.00,97.00,35.00%,44.00
Nadi,Fiji,31.63,131.00,30.00,5.00,6.00,5.00,13.00,2.00,11.00,1.00,19.00,20.00,293.00,91.00,50.00,78.00,22.00%,51.00
Milan,Italy,31.88,132.00,8.00,26.00,4.00,7.00,10.00,5.00,2.00,10.00,11.00,12.00,70.00,53.00,77.20,116.00,55.00%,26.00
Krakow,Poland,32.13,133.00,2.00,32.00,2.00,9.00,10.00,5.00,1.00,11.00,14.00,15.00,31.00,18.00,85.19,124.00,36.00%,43.00
Amalfi Coast,Italy,32.38,134.00,13.00,21.00,4.00,7.00,11.00,4.00,3.00,9.00,13.00,14.00,85.00,66.00,71.64,111.00,54.00%,27.00
Naples,Italy,32.38,135.00,13.00,21.00,4.00,7.00,11.00,4.00,3.00,9.00,13.00,14.00,85.00,66.00,71.64,111.00,54.00%,27.00
Sarajevo,Bosnia and Herzegovina,34.13,136.00,4.00,30.00,3.00,8.00,10.00,5.00,2.00,10.00,13.00,14.00,70.00,53.00,73.83,113.00,41.00%,40.00
Ubud,Indonesia,34.13,137.00,30.00,5.00,8.00,3.00,12.00,3.00,11.00,1.00,18.00,19.00,261.00,89.00,63.54,99.00,13.00%,54.00
Bali,Indonesia,34.38,138.00,30.00,5.00,8.00,3.00,12.00,3.00,11.00,1.00,18.00,19.00,261.00,89.00,67.50,107.00,30.00%,48.00
Chamonix,France,34.75,139.00,-5.00,38.00,4.00,7.00,10.00,5.00,2.00,10.00,15.00,16.00,113.00,73.00,61.96,94.00,46.00%,35.00
Jakarta,Indonesia,36.50,140.00,31.00,4.00,6.00,5.00,12.00,3.00,11.00,1.00,14.00,15.00,298.00,92.00,78.62,117.00,11.00%,55.00
